SMILES,SF
CC(C)c1c(c(C(C)C)ccc1)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,1.331125749
c1(c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(ccc1)C(C)C)C(C)C,1.331125749
CC(c1c(N2[PH](N([PH]2=S)c2c(cccc2C(C)C)C(C)C)=S)c(C(C)C)ccc1)C,1.331125749
CC(c1c(c(ccc1)C(C)C)N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C,1.331125749
c1cc(C(C)C)c(c(C(C)C)c1)N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S,1.331125749
CC(C)c1cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S,1.331125749
[PH]1(N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(cccc1C(C)C)C(C)C)=S,1.331125749
[PH]1(N(c2c(C(C)C)cccc2C(C)C)[PH](=S)N1c1c(C(C)C)cccc1C(C)C)=S,1.331125749
c1(c(c(ccc1)C(C)C)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,1.331125749
c1ccc(C(C)C)c(N2[PH](N([PH]2=S)c2c(cccc2C(C)C)C(C)C)=S)c1C(C)C,1.331125749
c1cc(C(C)C)c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(c1)C(C)C,1.331125749
[PH]1(=S)N([PH](N1c1c(cccc1C(C)C)C(C)C)=S)c1c(C(C)C)cccc1C(C)C,1.331125749
c1(c(c(C(C)C)ccc1)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S)C(C)C,1.331125749
[PH]1(N(c2c(C(C)C)cccc2C(C)C)[PH](=S)N1c1c(C(C)C)cccc1C(C)C)=S,1.331125749
C(c1cccc(C(C)C)c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)(C)C,1.331125749
c1c(C(C)C)c(c(C(C)C)cc1)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,1.331125749
CC(c1cccc(c1N1[PH](N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)=S)C(C)C)C,1.331125749
c1c(c(c(cc1)C(C)C)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,1.331125749
S=[PH]1N([PH](=S)N1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,1.331125749
c1(cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,1.331125749
c1cc(c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(C(C)C)c1)C(C)C,1.331125749
c1(C(C)C)cccc(C(C)C)c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S,1.331125749
c1c(c(c(C(C)C)cc1)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)C(C)C,1.331125749
CC(C)c1c(N2[PH](=S)N(c3c(C(C)C)cccc3C(C)C)[PH]2=S)c(C(C)C)ccc1,1.331125749
c1cc(C(C)C)c(N2[PH](=S)N([PH]2=S)c2c(cccc2C(C)C)C(C)C)c(c1)C(C)C,1.331125749
CC(c1cccc(c1N1[PH](N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)=S)C(C)C)C,1.331125749
c1cc(c(N2[PH](=S)N([PH]2=S)c2c(cccc2C(C)C)C(C)C)c(c1)C(C)C)C(C)C,1.331125749
c1c(C(C)C)c(c(C(C)C)cc1)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C,1.331125749
CC(C)c1c(N2[PH](=S)N(c3c(C(C)C)cccc3C(C)C)[PH]2=S)c(C(C)C)ccc1,1.331125749
c1(C(C)C)cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,1.331125749
C(c1cccc(c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C(C)C)(C)C,1.331125749
c1(C(C)C)cccc(c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C(C)C,1.331125749
CC(c1cccc(c1N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)C(C)C)C,1.331125749
CC(C)c1c(c(ccc1)C(C)C)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S,1.331125749
C(C)(c1cccc(c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C(C)C)C,1.331125749
CC(c1c(N2[PH](N(c3c(cccc3C(C)C)C(C)C)[PH]2=S)=S)c(ccc1)C(C)C)C,1.331125749
S=[PH]1N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,1.331125749
c1(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(cccc1C(C)C)C(C)C,1.331125749
c1(cccc(C(C)C)c1N1[PH](N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)=S)C(C)C,1.331125749
c1(C(C)C)cccc(c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C(C)C,1.331125749
c1(cccc(c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C)C(C)C,1.331125749
S=[PH]1N(c2c(cccc2C(C)C)C(C)C)[PH](N1c1c(cccc1C(C)C)C(C)C)=S,1.331125749
N1([PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)c1c(cccc1C(C)C)C(C)C,1.331125749
S=[PH]1N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(cccc1C(C)C)C(C)C,1.331125749
c1(c(C(C)C)cccc1C(C)C)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S,1.331125749
S=[PH]1N(c2c(cccc2C(C)C)C(C)C)[PH](N1c1c(C(C)C)cccc1C(C)C)=S,1.331125749
c1(N2[PH](N([PH]2=S)c2c(C(C)C)cccc2C(C)C)=S)c(cccc1C(C)C)C(C)C,1.331125749
c1cc(C(C)C)c(c(C(C)C)c1)N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S,1.331125749
CC(c1cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C,1.331125749
c1(cccc(c1N1[PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)C(C)C)C(C)C,1.331125749
c1ccc(c(N2[PH](N(c3c(C(C)C)cccc3C(C)C)[PH]2=S)=S)c1C(C)C)C(C)C,1.331125749
S=[PH]1N(c2c(cccc2C(C)C)C(C)C)[PH](=S)N1c1c(cccc1C(C)C)C(C)C,1.331125749
[PH]1(=S)N([PH](N1c1c(C(C)C)cccc1C(C)C)=S)c1c(C(C)C)cccc1C(C)C,1.331125749
S=[PH]1N([PH](=S)N1c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,1.331125749
[PH]1(N([PH](N1c1c(C(C)C)cccc1C(C)C)=S)c1c(cccc1C(C)C)C(C)C)=S,1.331125749
c1(cccc(c1N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S)C(C)C)C(C)C,1.331125749
CC(C)c1cccc(c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,1.331125749
c1(N2[PH](=S)N([PH]2=S)c2c(cccc2C(C)C)C(C)C)c(cccc1C(C)C)C(C)C,1.331125749
c1ccc(C(C)C)c(c1C(C)C)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S,1.331125749
CC(c1cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C,1.331125749
c1ccc(c(N2[PH](N(c3c(cccc3C(C)C)C(C)C)[PH]2=S)=S)c1C(C)C)C(C)C,1.331125749
c1(cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C)C(C)C,1.331125749
c1cc(C(C)C)c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,1.331125749
c1(c(c(C(C)C)ccc1)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)C(C)C,1.331125749
