SMILES,V
c1ccc2C(C(C=C(OC(C)C)c2c1)=C1C=C(OC(C)C)c2ccccc2C1=O)=O,2.263100014
O(C(C)C)C1=CC(=C2C(c3ccccc3C(OC(C)C)=C2)=O)C(=O)c2ccccc21,2.263100014
CC(C)OC1=CC(=C2C=C(c3ccccc3C2=O)OC(C)C)C(c2ccccc12)=O,2.263100014
c1c2C(OC(C)C)=CC(=C3C(=O)c4c(C(OC(C)C)=C3)cccc4)C(=O)c2ccc1,2.263100014
c1c2c(ccc1)C(=CC(C2=O)=C1C=C(OC(C)C)c2c(C1=O)cccc2)OC(C)C,2.263100014
c1ccc2c(C(C(=C3C=C(c4ccccc4C3=O)OC(C)C)C=C2OC(C)C)=O)c1,2.263100014
C1(C=C(OC(C)C)c2c(cccc2)C1=O)=C1C(=O)c2ccccc2C(=C1)OC(C)C,2.263100014
CC(C)OC1c2ccccc2C(=O)C(C=1)=C1C=C(OC(C)C)c2c(cccc2)C1=O,2.263100014
c1cccc2C(C(=C3C(c4ccccc4C(=C3)OC(C)C)=O)C=C(c12)OC(C)C)=O,2.263100014
O=C1C(C=C(c2c1cccc2)OC(C)C)=C1C=C(OC(C)C)c2c(cccc2)C1=O,2.263100014
c1cc2C(=O)C(=C3C=C(c4c(C3=O)cccc4)OC(C)C)C=C(c2cc1)OC(C)C,2.263100014
C(C)(C)OC1=CC(C(=O)c2c1cccc2)=C1C(c2ccccc2C(OC(C)C)=C1)=O,2.263100014
C1(C=C(OC(C)C)c2ccccc2C1=O)=C1C(=O)c2ccccc2C(=C1)OC(C)C,2.263100014
C1=C(c2c(C(C1=C1C(=O)c3c(cccc3)C(=C1)OC(C)C)=O)cccc2)OC(C)C,2.263100014
C1(c2ccccc2C(OC(C)C)=CC1=C1C(=O)c2c(cccc2)C(OC(C)C)=C1)=O,2.263100014
C(C)(C)OC1c2c(cccc2)C(=O)C(C=1)=C1C(c2c(cccc2)C(OC(C)C)=C1)=O,2.263100014
c1ccc2C(=O)C(C=C(OC(C)C)c2c1)=C1C=C(OC(C)C)c2ccccc2C1=O,2.263100014
C1(OC(C)C)c2c(C(C(=C3C(c4c(cccc4)C(OC(C)C)=C3)=O)C=1)=O)cccc2,2.263100014
c12ccccc1C(C(C=C2OC(C)C)=C1C=C(c2c(C1=O)cccc2)OC(C)C)=O,2.263100014
C(C)(C)OC1=CC(C(c2c1cccc2)=O)=C1C(c2c(cccc2)C(OC(C)C)=C1)=O,2.263100014
CC(C)OC1=CC(=C2C=C(c3c(C2=O)cccc3)OC(C)C)C(c2ccccc12)=O,2.263100014
c1ccc2C(OC(C)C)=CC(C(c2c1)=O)=C1C(=O)c2ccccc2C(=C1)OC(C)C,2.263100014
c12ccccc2C(=O)C(C=C1OC(C)C)=C1C(c2c(cccc2)C(=C1)OC(C)C)=O,2.263100014
O(C(C)C)C1=CC(=C2C(c3c(cccc3)C(OC(C)C)=C2)=O)C(c2c1cccc2)=O,2.263100014
O=C1c2c(C(=CC1=C1C=C(c3ccccc3C1=O)OC(C)C)OC(C)C)cccc2,2.263100014
C1(OC(C)C)=CC(C(=O)c2c1cccc2)=C1C=C(OC(C)C)c2c(C1=O)cccc2,2.263100014
c1cc2C(=CC(C(=O)c2cc1)=C1C(=O)c2c(cccc2)C(=C1)OC(C)C)OC(C)C,2.263100014
C1C(C(=O)c2ccccc2C=1OC(C)C)=C1C(=O)c2ccccc2C(OC(C)C)=C1,2.263100014
C(C)(OC1c2ccccc2C(C(=C2C=C(c3ccccc3C2=O)OC(C)C)C=1)=O)C,2.263100014
c12C(OC(C)C)=CC(=C3C(c4ccccc4C(OC(C)C)=C3)=O)C(=O)c1cccc2,2.263100014
c1c2c(C(OC(C)C)=CC(C2=O)=C2C=C(c3ccccc3C2=O)OC(C)C)ccc1,2.263100014
C(C)(C)OC1c2ccccc2C(C(=C2C=C(OC(C)C)c3ccccc3C2=O)C=1)=O,2.263100014
c1ccc2c(c1)C(OC(C)C)=CC(C2=O)=C1C(c2ccccc2C(OC(C)C)=C1)=O,2.263100014
c1ccc2c(c1)C(=O)C(=C1C=C(c3c(cccc3)C1=O)OC(C)C)C=C2OC(C)C,2.263100014
O(C(C)C)C1=CC(C(=O)c2ccccc12)=C1C=C(c2ccccc2C1=O)OC(C)C,2.263100014
C1(=C2C(=O)c3ccccc3C(=C2)OC(C)C)C=C(c2c(C1=O)cccc2)OC(C)C,2.263100014
C1(C(c2c(C(OC(C)C)=C1)cccc2)=O)=C1C=C(OC(C)C)c2ccccc2C1=O,2.263100014
C1(=CC(=C2C(c3c(cccc3)C(=C2)OC(C)C)=O)C(=O)c2ccccc21)OC(C)C,2.263100014
O(C(C)C)C1c2ccccc2C(C(=C2C=C(c3c(cccc3)C2=O)OC(C)C)C=1)=O,2.263100014
CC(OC1=CC(C(c2ccccc21)=O)=C1C(=O)c2c(cccc2)C(=C1)OC(C)C)C,2.263100014
O=C1c2ccccc2C(=CC1=C1C(c2ccccc2C(OC(C)C)=C1)=O)OC(C)C,2.263100014
c1cccc2c1C(C(=C1C=C(OC(C)C)c3c(cccc3)C1=O)C=C2OC(C)C)=O,2.263100014
C1(C(=O)c2ccccc2C(=C1)OC(C)C)=C1C(=O)c2ccccc2C(=C1)OC(C)C,2.263100014
c1cc2C(C(C=C(OC(C)C)c2cc1)=C1C(c2ccccc2C(OC(C)C)=C1)=O)=O,2.263100014
c1cccc2c1C(=O)C(=C1C=C(c3c(C1=O)cccc3)OC(C)C)C=C2OC(C)C,2.263100014
c12C(=CC(=C3C=C(OC(C)C)c4ccccc4C3=O)C(=O)c1cccc2)OC(C)C,2.263100014
O=C1C(=C2C(c3c(C(=C2)OC(C)C)cccc3)=O)C=C(c2ccccc21)OC(C)C,2.263100014
C1C(=C2C=C(c3ccccc3C2=O)OC(C)C)C(=O)c2c(C=1OC(C)C)cccc2,2.263100014
c1cccc2c1C(C(C=C2OC(C)C)=C1C=C(OC(C)C)c2c(C1=O)cccc2)=O,2.263100014
C1(C=C(OC(C)C)c2ccccc2C1=O)=C1C=C(OC(C)C)c2c(cccc2)C1=O,2.263100014
C(C)(OC1c2c(cccc2)C(C(C=1)=C1C(c2c(cccc2)C(OC(C)C)=C1)=O)=O)C,2.263100014
c12c(cccc2)C(=CC(C1=O)=C1C=C(OC(C)C)c2ccccc2C1=O)OC(C)C,2.263100014
O(C1c2c(C(=O)C(C=1)=C1C=C(c3ccccc3C1=O)OC(C)C)cccc2)C(C)C,2.263100014
O=C1c2ccccc2C(OC(C)C)=CC1=C1C=C(OC(C)C)c2c(cccc2)C1=O,2.263100014
CC(OC1c2c(C(C(C=1)=C1C=C(OC(C)C)c3c(cccc3)C1=O)=O)cccc2)C,2.263100014
CC(C)OC1=CC(=C2C=C(c3ccccc3C2=O)OC(C)C)C(c2c1cccc2)=O,2.263100014
c12c(cccc2)C(OC(C)C)=CC(C1=O)=C1C=C(c2ccccc2C1=O)OC(C)C,2.263100014
CC(C)OC1c2ccccc2C(C(C=1)=C1C=C(OC(C)C)c2c(cccc2)C1=O)=O,2.263100014
c1c2C(OC(C)C)=CC(C(c2ccc1)=O)=C1C(c2c(C(OC(C)C)=C1)cccc2)=O,2.263100014
O(C1=CC(C(=O)c2c1cccc2)=C1C(c2ccccc2C(=C1)OC(C)C)=O)C(C)C,2.263100014
O=C1c2c(C(OC(C)C)=CC1=C1C=C(OC(C)C)c3ccccc3C1=O)cccc2,2.263100014
C1(OC(C)C)=CC(=C2C=C(c3ccccc3C2=O)OC(C)C)C(c2ccccc12)=O,2.263100014
c1c2C(=CC(=C3C=C(OC(C)C)c4c(C3=O)cccc4)C(=O)c2ccc1)OC(C)C,2.263100014
C1=C(OC(C)C)c2ccccc2C(=O)C1=C1C=C(OC(C)C)c2c(cccc2)C1=O,2.263100014
c1cc2C(C(C=C(c2cc1)OC(C)C)=C1C(=O)c2ccccc2C(=C1)OC(C)C)=O,2.263100014
CC(C)OC1c2ccccc2C(=O)C(=C2C=C(c3ccccc3C2=O)OC(C)C)C=1,2.263100014
c1c2C(OC(C)C)=CC(=C3C(c4c(cccc4)C(OC(C)C)=C3)=O)C(c2ccc1)=O,2.263100014
c1cccc2C(C(C=C(OC(C)C)c21)=C1C(c2c(C(OC(C)C)=C1)cccc2)=O)=O,2.263100014
CC(OC1c2ccccc2C(=O)C(=C2C(=O)c3c(C(=C2)OC(C)C)cccc3)C=1)C,2.263100014
C1(C(=C2C(c3c(C(=C2)OC(C)C)cccc3)=O)C=C(OC(C)C)c2ccccc12)=O,2.263100014
c12ccccc1C(OC(C)C)=CC(C2=O)=C1C(=O)c2c(cccc2)C(OC(C)C)=C1,2.263100014
c12c(cccc1)C(C(C=C2OC(C)C)=C1C=C(c2ccccc2C1=O)OC(C)C)=O,2.263100014
c12ccccc1C(=O)C(C=C2OC(C)C)=C1C=C(OC(C)C)c2ccccc2C1=O,2.263100014
CC(C)OC1=CC(C(=O)c2c1cccc2)=C1C(c2c(C(OC(C)C)=C1)cccc2)=O,2.263100014
c1ccc2C(=O)C(=C3C=C(c4c(cccc4)C3=O)OC(C)C)C=C(c2c1)OC(C)C,2.263100014
O=C1c2ccccc2C(OC(C)C)=CC1=C1C(=O)c2ccccc2C(=C1)OC(C)C,2.263100014
c1ccc2C(C(C=C(c2c1)OC(C)C)=C1C=C(OC(C)C)c2ccccc2C1=O)=O,2.263100014
c1cc2C(=CC(C(c2cc1)=O)=C1C=C(OC(C)C)c2ccccc2C1=O)OC(C)C,2.263100014
c1c2c(C(=CC(=C3C=C(c4c(cccc4)C3=O)OC(C)C)C2=O)OC(C)C)ccc1,2.263100014
c12c(cccc2)C(=O)C(=C2C=C(OC(C)C)c3c(cccc3)C2=O)C=C1OC(C)C,2.263100014
O(C1=CC(C(=O)c2ccccc12)=C1C=C(c2ccccc2C1=O)OC(C)C)C(C)C,2.263100014
C1(=C2C=C(OC(C)C)c3ccccc3C2=O)C=C(OC(C)C)c2c(cccc2)C1=O,2.263100014
C1(=C2C(=O)c3ccccc3C(OC(C)C)=C2)C=C(c2ccccc2C1=O)OC(C)C,2.263100014
CC(OC1=CC(C(=O)c2c1cccc2)=C1C(=O)c2ccccc2C(OC(C)C)=C1)C,2.263100014
c1ccc2C(=O)C(=C3C(c4ccccc4C(OC(C)C)=C3)=O)C=C(c2c1)OC(C)C,2.263100014
CC(C)OC1c2ccccc2C(C(C=1)=C1C(=O)c2c(C(=C1)OC(C)C)cccc2)=O,2.263100014
O=C1c2c(C(=CC1=C1C(=O)c3ccccc3C(=C1)OC(C)C)OC(C)C)cccc2,2.263100014
C(C(=c1ccc(cc1)=C(C(OC)=O)C(OC)=O)C(OC)=O)(OC)=O,3.616700022
C(OC)(=O)C(C(=O)OC)=c1ccc(cc1)=C(C(=O)OC)C(=O)OC,3.616700022
COC(=O)C(=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)C(=O)OC,3.616700022
C(=O)(C(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC)OC,3.616700022
C(=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)(C(=O)OC)C(OC)=O,3.616700022
C(OC)(=O)C(C(=O)OC)=c1ccc(=C(C(=O)OC)C(=O)OC)cc1,3.616700022
O=C(C(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(OC)=O)OC,3.616700022
COC(=O)C(=c1ccc(cc1)=C(C(OC)=O)C(=O)OC)C(OC)=O,3.616700022
c1cc(=C(C(=O)OC)C(OC)=O)ccc1=C(C(=O)OC)C(=O)OC,3.616700022
O=C(C(C(OC)=O)=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)OC,3.616700022
C(C(OC)=O)(C(OC)=O)=c1ccc(cc1)=C(C(OC)=O)C(OC)=O,3.616700022
c1c(=C(C(OC)=O)C(=O)OC)ccc(c1)=C(C(OC)=O)C(OC)=O,3.616700022
C(=O)(C(C(OC)=O)=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)OC,3.616700022
c1cc(=C(C(OC)=O)C(=O)OC)ccc1=C(C(=O)OC)C(=O)OC,3.616700022
O=C(C(C(OC)=O)=c1ccc(cc1)=C(C(OC)=O)C(=O)OC)OC,3.616700022
COC(=O)C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(=O)OC)cc1,3.616700022
O(C(C(=c1ccc(=C(C(OC)=O)C(=O)OC)cc1)C(OC)=O)=O)C,3.616700022
c1cc(=C(C(=O)OC)C(=O)OC)ccc1=C(C(OC)=O)C(OC)=O,3.616700022
c1(=C(C(=O)OC)C(OC)=O)ccc(cc1)=C(C(=O)OC)C(OC)=O,3.616700022
O(C)C(C(=c1ccc(cc1)=C(C(OC)=O)C(=O)OC)C(OC)=O)=O,3.616700022
O=C(C(C(=O)OC)=c1ccc(cc1)=C(C(OC)=O)C(=O)OC)OC,3.616700022
c1c(=C(C(OC)=O)C(OC)=O)ccc(=C(C(=O)OC)C(=O)OC)c1,3.616700022
O=C(C(=c1ccc(=C(C(OC)=O)C(=O)OC)cc1)C(OC)=O)OC,3.616700022
COC(=O)C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(=O)OC)cc1,3.616700022
C(C(=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)C(OC)=O)(=O)OC,3.616700022
O=C(C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(=O)OC)cc1)OC,3.616700022
c1cc(ccc1=C(C(=O)OC)C(=O)OC)=C(C(=O)OC)C(OC)=O,3.616700022
O=C(C(=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)C(=O)OC)OC,3.616700022
c1cc(ccc1=C(C(OC)=O)C(=O)OC)=C(C(OC)=O)C(=O)OC,3.616700022
c1c(=C(C(OC)=O)C(OC)=O)ccc(c1)=C(C(OC)=O)C(=O)OC,3.616700022
c1cc(=C(C(=O)OC)C(OC)=O)ccc1=C(C(=O)OC)C(=O)OC,3.616700022
C(=O)(C(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC)OC,3.616700022
c1(=C(C(=O)OC)C(OC)=O)ccc(cc1)=C(C(=O)OC)C(=O)OC,3.616700022
COC(C(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC)=O,3.616700022
c1cc(=C(C(=O)OC)C(=O)OC)ccc1=C(C(=O)OC)C(OC)=O,3.616700022
c1cc(ccc1=C(C(=O)OC)C(=O)OC)=C(C(OC)=O)C(OC)=O,3.616700022
O=C(C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)OC,3.616700022
O=C(OC)C(C(=O)OC)=c1ccc(cc1)=C(C(OC)=O)C(=O)OC,3.616700022
O=C(C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)OC,3.616700022
C(=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)(C(=O)OC)C(=O)OC,3.616700022
c1c(ccc(c1)=C(C(OC)=O)C(OC)=O)=C(C(OC)=O)C(OC)=O,3.616700022
c1(ccc(=C(C(=O)OC)C(OC)=O)cc1)=C(C(OC)=O)C(=O)OC,3.616700022
COC(C(C(=O)OC)=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)=O,3.616700022
O(C)C(C(=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)C(=O)OC)=O,3.616700022
O=C(OC)C(=c1ccc(cc1)=C(C(OC)=O)C(=O)OC)C(=O)OC,3.616700022
O=C(OC)C(=c1ccc(=C(C(OC)=O)C(=O)OC)cc1)C(=O)OC,3.616700022
C(C(=c1ccc(=C(C(OC)=O)C(=O)OC)cc1)C(=O)OC)(OC)=O,3.616700022
COC(C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)=O,3.616700022
O(C)C(C(=c1ccc(cc1)=C(C(OC)=O)C(OC)=O)C(=O)OC)=O,3.616700022
O(C(=O)C(C(OC)=O)=c1ccc(cc1)=C(C(=O)OC)C(=O)OC)C,3.616700022
C(=O)(C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)OC,3.616700022
c1c(ccc(=C(C(OC)=O)C(=O)OC)c1)=C(C(OC)=O)C(OC)=O,3.616700022
COC(=O)C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1,3.616700022
COC(C(=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)C(=O)OC)=O,3.616700022
c1c(=C(C(=O)OC)C(=O)OC)ccc(c1)=C(C(=O)OC)C(OC)=O,3.616700022
c1cc(=C(C(OC)=O)C(=O)OC)ccc1=C(C(=O)OC)C(OC)=O,3.616700022
O=C(C(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC)OC,3.616700022
COC(=O)C(C(OC)=O)=c1ccc(cc1)=C(C(OC)=O)C(OC)=O,3.616700022
O=C(OC)C(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC,3.616700022
O=C(C(C(=O)OC)=c1ccc(cc1)=C(C(=O)OC)C(=O)OC)OC,3.616700022
O(C(=O)C(C(=O)OC)=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)C,3.616700022
O(C(=O)C(=c1ccc(cc1)=C(C(OC)=O)C(OC)=O)C(=O)OC)C,3.616700022
O=C(OC)C(=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)C(=O)OC,3.616700022
COC(C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)=O,3.616700022
C(C(=O)OC)(C(OC)=O)=c1ccc(cc1)=C(C(=O)OC)C(=O)OC,3.616700022
COC(=O)C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1,3.616700022
C(C(=O)OC)(C(OC)=O)=c1ccc(cc1)=C(C(OC)=O)C(OC)=O,3.616700022
COC(=O)C(C(OC)=O)=c1ccc(=C(C(OC)=O)C(=O)OC)cc1,3.616700022
O(C(=O)C(C(OC)=O)=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)C,3.616700022
c1c(=C(C(OC)=O)C(=O)OC)ccc(c1)=C(C(=O)OC)C(=O)OC,3.616700022
C(OC)(=O)C(C(OC)=O)=c1ccc(=C(C(=O)OC)C(=O)OC)cc1,3.616700022
c1cc(=C(C(=O)OC)C(OC)=O)ccc1=C(C(OC)=O)C(=O)OC,3.616700022
O=C(OC)C(=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)C(=O)OC,3.616700022
c1(ccc(cc1)=C(C(OC)=O)C(OC)=O)=C(C(=O)OC)C(=O)OC,3.616700022
O=C(C(=c1ccc(=C(C(OC)=O)C(=O)OC)cc1)C(=O)OC)OC,3.616700022
C(C(C(OC)=O)=c1ccc(cc1)=C(C(=O)OC)C(=O)OC)(=O)OC,3.616700022
C(C(OC)=O)(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC,3.616700022
C(C(=O)OC)(=c1ccc(cc1)=C(C(OC)=O)C(=O)OC)C(=O)OC,3.616700022
COC(C(=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)C(=O)OC)=O,3.616700022
c1c(=C(C(=O)OC)C(=O)OC)ccc(=C(C(=O)OC)C(=O)OC)c1,3.616700022
c1c(=C(C(=O)OC)C(=O)OC)ccc(=C(C(=O)OC)C(=O)OC)c1,3.616700022
O=C(C(C(OC)=O)=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)OC,3.616700022
O=C(OC)C(=c1ccc(=C(C(OC)=O)C(=O)OC)cc1)C(OC)=O,3.616700022
C(C(=O)OC)(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC,3.616700022
C(C(OC)=O)(=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)C(OC)=O,3.616700022
c1cc(ccc1=C(C(OC)=O)C(OC)=O)=C(C(OC)=O)C(OC)=O,3.616700022
COC(C(=c1ccc(cc1)=C(C(=O)OC)C(=O)OC)C(=O)OC)=O,3.616700022
O(C(=O)C(C(=O)OC)=c1ccc(=C(C(OC)=O)C(OC)=O)cc1)C,3.616700022
O=C(C(=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)C(OC)=O)OC,3.616700022
c1(=C(C(=O)OC)C(OC)=O)ccc(=C(C(=O)OC)C(OC)=O)cc1,3.616700022
COC(C(=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)C(OC)=O)=O,3.616700022
O=C(C(=c1ccc(=C(C(=O)OC)C(=O)OC)cc1)C(OC)=O)OC,3.616700022
C(C(C(=O)OC)=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)(OC)=O,3.616700022
c1(=C(C(OC)=O)C(OC)=O)ccc(=C(C(=O)OC)C(OC)=O)cc1,3.616700022
O=C(C(C(=O)OC)=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)OC,3.616700022
C(OC)(=O)C(=c1ccc(=C(C(=O)OC)C(OC)=O)cc1)C(=O)OC,3.616700022
O(C(=O)C(=c1ccc(cc1)=C(C(=O)OC)C(OC)=O)C(OC)=O)C,3.616700022
C(=c1ccc(cc1)=C(C(=O)OC)C(=O)OC)(C(OC)=O)C(=O)OC,3.616700022
c1c(ccc(c1)=C(C(OC)=O)C(OC)=O)=C(C(=O)OC)C(=O)OC,3.616700022
c1cc(ccc1=C(C(=O)OC)C(OC)=O)=C(C(OC)=O)C(OC)=O,3.616700022
O=C1c2c(cccc2)C(=CC1=C1C(c2c(C(=C1)OC)cccc2)=O)OC,2.333500014
C1(=O)C(=C2C=C(OC)c3ccccc3C2=O)C=C(OC)c2ccccc21,2.333500014
c1cc2C(=O)C(=C3C(=O)c4ccccc4C(=C3)OC)C=C(OC)c2cc1,2.333500014
c1cccc2c1C(C(=C1C=C(c3c(C1=O)cccc3)OC)C=C2OC)=O,2.333500014
c12C(=CC(C(c1cccc2)=O)=C1C(c2c(C(=C1)OC)cccc2)=O)OC,2.333500014
COC1=CC(=C2C(c3c(cccc3)C(OC)=C2)=O)C(=O)c2ccccc21,2.333500014
c12ccccc1C(C(C=C2OC)=C1C=C(OC)c2c(C1=O)cccc2)=O,2.333500014
c12c(cccc2)C(=O)C(=C2C=C(OC)c3ccccc3C2=O)C=C1OC,2.333500014
c1cc2c(cc1)C(C(C=C2OC)=C1C=C(c2c(C1=O)cccc2)OC)=O,2.333500014
O=C1C(=C2C(c3c(C(OC)=C2)cccc3)=O)C=C(c2ccccc12)OC,2.333500014
O=C1C(=C2C=C(OC)c3ccccc3C2=O)C=C(c2c1cccc2)OC,2.333500014
c1cc2C(=O)C(=C3C=C(OC)c4c(C3=O)cccc4)C=C(c2cc1)OC,2.333500014
c1ccc2C(=CC(=C3C=C(OC)c4ccccc4C3=O)C(c2c1)=O)OC,2.333500014
C1(=O)c2ccccc2C(=CC1=C1C(=O)c2c(cccc2)C(=C1)OC)OC,2.333500014
c12ccccc1C(C(C=C2OC)=C1C(c2c(cccc2)C(=C1)OC)=O)=O,2.333500014
C1C(C(=O)c2c(C=1OC)cccc2)=C1C=C(c2c(cccc2)C1=O)OC,2.333500014
O=C1c2c(cccc2)C(=CC1=C1C(c2c(C(OC)=C1)cccc2)=O)OC,2.333500014
C1(C(=O)c2c(C(=C1)OC)cccc2)=C1C=C(c2c(cccc2)C1=O)OC,2.333500014
O=C1C(=C2C(c3c(cccc3)C(OC)=C2)=O)C=C(OC)c2ccccc12,2.333500014
O(C)C1=CC(=C2C(=O)c3ccccc3C(OC)=C2)C(c2c1cccc2)=O,2.333500014
c1cc2C(C(C=C(c2cc1)OC)=C1C(=O)c2ccccc2C(OC)=C1)=O,2.333500014
C1C(=C2C=C(c3c(cccc3)C2=O)OC)C(=O)c2ccccc2C=1OC,2.333500014
c1ccc2C(=O)C(C=C(OC)c2c1)=C1C=C(c2ccccc2C1=O)OC,2.333500014
C1(=C2C(c3c(cccc3)C(=C2)OC)=O)C=C(OC)c2ccccc2C1=O,2.333500014
C1C(C(=O)c2ccccc2C=1OC)=C1C=C(c2ccccc2C1=O)OC,2.333500014
c1ccc2c(c1)C(C(C=C2OC)=C1C(c2ccccc2C(=C1)OC)=O)=O,2.333500014
c1cccc2c1C(OC)=CC(=C1C(c3c(C(=C1)OC)cccc3)=O)C2=O,2.333500014
c1c2c(C(=CC(=C3C=C(c4c(C3=O)cccc4)OC)C2=O)OC)ccc1,2.333500014
c1ccc2c(C(C(=C3C(c4ccccc4C(OC)=C3)=O)C=C2OC)=O)c1,2.333500014
c1c2c(C(OC)=CC(C2=O)=C2C=C(c3ccccc3C2=O)OC)ccc1,2.333500014
c1c2c(ccc1)C(=O)C(=C1C=C(OC)c3c(C1=O)cccc3)C=C2OC,2.333500014
C1C(C(=O)c2c(C=1OC)cccc2)=C1C=C(OC)c2c(cccc2)C1=O,2.333500014
C1(=C2C=C(c3ccccc3C2=O)OC)C(=O)c2ccccc2C(=C1)OC,2.333500014
c12ccccc1C(C(=C1C(c3ccccc3C(=C1)OC)=O)C=C2OC)=O,2.333500014
c1c2C(OC)=CC(C(=O)c2ccc1)=C1C=C(c2ccccc2C1=O)OC,2.333500014
COC1c2ccccc2C(=O)C(C=1)=C1C(c2ccccc2C(OC)=C1)=O,2.333500014
c1c2C(OC)=CC(=C3C(c4c(cccc4)C(=C3)OC)=O)C(=O)c2ccc1,2.333500014
c1ccc2C(=CC(C(c2c1)=O)=C1C=C(OC)c2ccccc2C1=O)OC,2.333500014
c1ccc2C(C(C=C(OC)c2c1)=C1C=C(OC)c2ccccc2C1=O)=O,2.333500014
c1c2C(=O)C(C=C(OC)c2ccc1)=C1C(c2c(cccc2)C(=C1)OC)=O,2.333500014
c1ccc2C(=O)C(C=C(OC)c2c1)=C1C=C(OC)c2c(C1=O)cccc2,2.333500014
C1C(=C2C(=O)c3c(C(=C2)OC)cccc3)C(=O)c2c(C=1OC)cccc2,2.333500014
c1cc2C(=CC(C(c2cc1)=O)=C1C=C(OC)c2ccccc2C1=O)OC,2.333500014
c1c2c(ccc1)C(OC)=CC(=C1C(c3ccccc3C(=C1)OC)=O)C2=O,2.333500014
C1=C(OC)c2ccccc2C(=O)C1=C1C=C(c2ccccc2C1=O)OC,2.333500014
c1cccc2c1C(=CC(C2=O)=C1C(=O)c2ccccc2C(=C1)OC)OC,2.333500014
c1ccc2C(OC)=CC(C(c2c1)=O)=C1C(c2c(C(=C1)OC)cccc2)=O,2.333500014
c12C(OC)=CC(C(=O)c1cccc2)=C1C(=O)c2ccccc2C(=C1)OC,2.333500014
C1(C(C=C(c2ccccc12)OC)=C1C=C(c2c(cccc2)C1=O)OC)=O,2.333500014
c1c2C(C(C=C(c2ccc1)OC)=C1C=C(c2c(cccc2)C1=O)OC)=O,2.333500014
c1c2C(C(=C3C=C(c4ccccc4C3=O)OC)C=C(OC)c2ccc1)=O,2.333500014
c12c(C(C(C=C2OC)=C2C=C(c3c(cccc3)C2=O)OC)=O)cccc1,2.333500014
C1(c2c(C(=CC1=C1C(c3c(cccc3)C(OC)=C1)=O)OC)cccc2)=O,2.333500014
C1(C(c2ccccc2C(=C1)OC)=O)=C1C=C(c2ccccc2C1=O)OC,2.333500014
c1cc2C(=O)C(C=C(OC)c2cc1)=C1C=C(OC)c2c(cccc2)C1=O,2.333500014
C1(C=C(c2ccccc2C1=O)OC)=C1C(c2c(C(OC)=C1)cccc2)=O,2.333500014
c12c(C(OC)=CC(=C3C(c4ccccc4C(=C3)OC)=O)C2=O)cccc1,2.333500014
C1(=C2C(c3ccccc3C(=C2)OC)=O)C=C(c2c(C1=O)cccc2)OC,2.333500014
c1cccc2c1C(C(C=C2OC)=C1C(=O)c2c(C(OC)=C1)cccc2)=O,2.333500014
c1cccc2C(C(C=C(c21)OC)=C1C(c2ccccc2C(OC)=C1)=O)=O,2.333500014
O=C1C(C=C(OC)c2ccccc21)=C1C=C(c2ccccc2C1=O)OC,2.333500014
