SMILES,SF
c1(F)nc(c(c2c1Cc1c(c(C)cc(c1)C)[N+]([O-])=[N+]2[O-])F)F,1.704209925
c1(c2c(c(c(F)n1)F)[N+](=[N+]([O-])c1c(C)cc(cc1C2)C)[O-])F,1.704209925
[O-][N+]1c2c(cc(C)cc2Cc2c(c(F)c(F)nc2F)[N+]=1[O-])C,1.704209925
Cc1cc2c(c(c1)C)[N+]([O-])=[N+]([O-])c1c(F)c(F)nc(c1C2)F,1.704209925
c12c(cc(cc2Cc2c([N+](=[N+]1[O-])[O-])c(c(nc2F)F)F)C)C,1.704209925
Cc1cc2Cc3c(nc(c(F)c3[N+]([O-])=[N+](c2c(c1)C)[O-])F)F,1.704209925
Cc1cc(c2[N+]([O-])=[N+]([O-])c3c(Cc2c1)c(nc(F)c3F)F)C,1.704209925
Cc1c2c(Cc3c(nc(F)c(c3[N+](=[N+]2[O-])[O-])F)F)cc(c1)C,1.704209925
[N+]1(=[N+](c2c(Cc3c1c(cc(C)c3)C)c(F)nc(c2F)F)[O-])[O-],1.704209925
Fc1nc(F)c(F)c2c1Cc1cc(cc(c1[N+](=[N+]2[O-])[O-])C)C,1.704209925
c1c(cc2c(c1C)[N+]([O-])=[N+]([O-])c1c(c(F)nc(c1C2)F)F)C,1.704209925
[O-][N+](c1ccccc1)=[N+]([O-])c1ccccc1,1.697357425
[O-][N+](c1ccccc1)=[N+](c1ccccc1)[O-],1.697357425
c1c([N+]([O-])=[N+](c2ccccc2)[O-])cccc1,1.697357425
[N+](=[N+](c1ccccc1)[O-])(c1ccccc1)[O-],1.697357425
c1(ccccc1)[N+]([O-])=[N+]([O-])c1ccccc1,1.697357425
c1(ccccc1)[N+]([O-])=[N+](c1ccccc1)[O-],1.697357425
c1cc([N+](=[N+]([O-])c2ccccc2)[O-])ccc1,1.697357425
c1ccc(cc1)[N+](=[N+](c1ccccc1)[O-])[O-],1.697357425
c1([N+](=[N+]([O-])c2ccccc2)[O-])ccccc1,1.697357425
c1([N+](=[N+](c2ccccc2)[O-])[O-])ccccc1,1.697357425
c1(ccccc1)[N+](=[N+]([O-])c1ccccc1)[O-],1.697357425
c1ccccc1[N+](=[N+]([O-])c1ccccc1)[O-],1.697357425
[O-][N+](=[N+]([O-])c1ccccc1)c1ccccc1,1.697357425
c1cccc([N+]([O-])=[N+](c2ccccc2)[O-])c1,1.697357425
c1ccc([N+]([O-])=[N+](c2ccccc2)[O-])cc1,1.697357425
c1(ccccc1)[N+]([O-])=[N+](c1ccccc1)[O-],1.697357425
c1cc([N+]([O-])=[N+](c2ccccc2)[O-])ccc1,1.697357425
c1ccc(cc1)[N+]([O-])=[N+]([O-])c1ccccc1,1.697357425
[N+](=[N+](c1ccccc1)[O-])(c1ccccc1)[O-],1.697357425
c1ccc(cc1)[N+](=[N+](c1ccccc1)[O-])[O-],1.697357425
CC(C)([N+]([O-])=C1C=C(N)C(=O)C=C1)C,1.543926815
CC(C)(C)[N+](=C1C=C(N)C(C=C1)=O)[O-],1.543926815
[N+]([O-])(C(C)(C)C)=C1C=CC(C(=C1)N)=O,1.543926815
[N+]([O-])(=C1C=CC(C(=C1)N)=O)C(C)(C)C,1.543926815
C1=CC(C(=CC1=[N+](C(C)(C)C)[O-])N)=O,1.543926815
CC([N+]([O-])=C1C=C(C(C=C1)=O)N)(C)C,1.543926815
C1=CC(C(=CC1=[N+]([O-])C(C)(C)C)N)=O,1.543926815
C1(N)=CC(=[N+]([O-])C(C)(C)C)C=CC1=O,1.543926815
CC([N+](=C1C=C(N)C(=O)C=C1)[O-])(C)C,1.543926815
[N+]([O-])(=C1C=CC(C(N)=C1)=O)C(C)(C)C,1.543926815
C1(N)C(C=CC(=[N+](C(C)(C)C)[O-])C=1)=O,1.543926815
NC1=CC(C=CC1=O)=[N+]([O-])C(C)(C)C,1.543926815
C1(=[N+](C(C)(C)C)[O-])C=CC(C(N)=C1)=O,1.543926815
CC(C)(C)[N+](=C1C=C(C(C=C1)=O)N)[O-],1.543926815
O=C1C=CC(=[N+](C(C)(C)C)[O-])C=C1N,1.543926815
CC([N+]([O-])=C1C=CC(C(=C1)N)=O)(C)C,1.543926815
CC([N+](=C1C=C(C(C=C1)=O)N)[O-])(C)C,1.543926815
[N+]([O-])(C(C)(C)C)=C1C=CC(C(=C1)N)=O,1.543926815
CC([N+]([O-])=C1C=C(N)C(C=C1)=O)(C)C,1.543926815
C(C)(C)([N+]([O-])=C1C=C(N)C(=O)C=C1)C,1.543926815
[NH2+]=C(S[O-])C(=Cc1ccccc1Cl)C#N,0.294205577
C(=C(C#N)C(S[O-])=[NH2+])c1ccccc1Cl,0.294205577
c1cc(C=C(C#N)C(=[NH2+])S[O-])c(Cl)cc1,0.294205577
c1ccc(C=C(C(S[O-])=[NH2+])C#N)c(Cl)c1,0.294205577
C(c1c(Cl)cccc1)=C(C#N)C(S[O-])=[NH2+],0.294205577
N#CC(=Cc1ccccc1Cl)C(S[O-])=[NH2+],0.294205577
c1c(Cl)c(ccc1)C=C(C#N)C(=[NH2+])S[O-],0.294205577
C(C#N)(=Cc1c(cccc1)Cl)C(S[O-])=[NH2+],0.294205577
[O-]SC(C(C#N)=Cc1ccccc1Cl)=[NH2+],0.294205577
c1(c(C=C(C#N)C(S[O-])=[NH2+])cccc1)Cl,0.294205577
C(#N)C(=Cc1c(cccc1)Cl)C(=[NH2+])S[O-],0.294205577
[NH2+]=C(C(=Cc1c(Cl)cccc1)C#N)S[O-],0.294205577
C(=[NH2+])(S[O-])C(=Cc1ccccc1Cl)C#N,0.294205577
[O-]SC(C(=Cc1c(cccc1)Cl)C#N)=[NH2+],0.294205577
c1ccc(c(Cl)c1)C=C(C#N)C(=[NH2+])S[O-],0.294205577
c1cc(c(cc1)C=C(C(=[NH2+])S[O-])C#N)Cl,0.294205577
C(=Cc1ccccc1Cl)(C(S[O-])=[NH2+])C#N,0.294205577
c1(c(cccc1)C=C(C#N)C(S[O-])=[NH2+])Cl,0.294205577
[O-]SC(=[NH2+])C(=Cc1c(cccc1)Cl)C#N,0.294205577
Clc1ccccc1C=C(C(=[NH2+])S[O-])C#N,0.294205577
c1cc2nc([N+](=[N+](c3cnc4c(cccc4)n3)[O-])[O-])cnc2cc1,1.272394777
[N+](=[N+](c1cnc2ccccc2n1)[O-])(c1nc2ccccc2nc1)[O-],1.272394777
c1c([N+]([O-])=[N+]([O-])c2cnc3c(n2)cccc3)nc2c(cccc2)n1,1.272394777
c1c2c(nc([N+](=[N+](c3cnc4c(cccc4)n3)[O-])[O-])cn2)ccc1,1.272394777
c1nc2ccccc2nc1[N+]([O-])=[N+](c1nc2ccccc2nc1)[O-],1.272394777
c1c2nc(cnc2ccc1)[N+]([O-])=[N+](c1cnc2c(n1)cccc2)[O-],1.272394777
n1cc([N+](=[N+](c2cnc3c(n2)cccc3)[O-])[O-])nc2ccccc12,1.272394777
c1(cnc2c(cccc2)n1)[N+](=[N+]([O-])c1nc2ccccc2nc1)[O-],1.272394777
[N+](c1nc2ccccc2nc1)(=[N+]([O-])c1cnc2ccccc2n1)[O-],1.272394777
c1c2c(ncc([N+]([O-])=[N+]([O-])c3nc4ccccc4nc3)n2)ccc1,1.272394777
c1cc2nc(cnc2cc1)[N+](=[N+]([O-])c1cnc2ccccc2n1)[O-],1.272394777
c1cc2c(cc1)ncc([N+](=[N+]([O-])c1nc3c(cccc3)nc1)[O-])n2,1.272394777
[N+](c1cnc2c(cccc2)n1)([O-])=[N+]([O-])c1cnc2ccccc2n1,1.272394777
c1c2c(ccc1)ncc(n2)[N+]([O-])=[N+](c1cnc2c(cccc2)n1)[O-],1.272394777
c12c(nc(cn1)[N+](=[N+]([O-])c1cnc3ccccc3n1)[O-])cccc2,1.272394777
c1(nc2c(cccc2)nc1)[N+](=[N+]([O-])c1cnc2ccccc2n1)[O-],1.272394777
[N+]([O-])(c1cnc2c(cccc2)n1)=[N+](c1nc2ccccc2nc1)[O-],1.272394777
c1c2c(ncc(n2)[N+]([O-])=[N+]([O-])c2cnc3ccccc3n2)ccc1,1.272394777
c1cc2c(cc1)nc(cn2)[N+](=[N+]([O-])c1cnc2c(n1)cccc2)[O-],1.272394777
c12ccccc2ncc(n1)[N+]([O-])=[N+]([O-])c1nc2c(cccc2)nc1,1.272394777
C1(C)(C)C(C)([N+]([O-])=C(C=[N+]1[O-])C1=NC(C)(C(C)(N1O)C)C)C,1.001801579
CC1(C(N=C(N1O)C1=[N+]([O-])C(C(C)(C)[N+]([O-])=C1)(C)C)(C)C)C,1.001801579
CC1(C)N=C(N(C1(C)C)O)C1C=[N+]([O-])C(C)(C)C([N+]=1[O-])(C)C,1.001801579
[O-][N+]1=C(C2=NC(C)(C)C(N2O)(C)C)C=[N+](C(C)(C)C1(C)C)[O-],1.001801579
CC1(C)[N+](=C(C=[N+](C1(C)C)[O-])C1N(C(C)(C)C(C)(C)N=1)O)[O-],1.001801579
C1(C)([N+]([O-])=C(C2N(C(C)(C)C(C)(C)N=2)O)C=[N+](C1(C)C)[O-])C,1.001801579
C1C(=[N+](C(C)(C(C)(C)[N+]=1[O-])C)[O-])C1=NC(C(C)(C)N1O)(C)C,1.001801579
CC1(C(N=C(N1O)C1C=[N+]([O-])C(C([N+]=1[O-])(C)C)(C)C)(C)C)C,1.001801579
CC1([N+]([O-])=C(C=[N+]([O-])C1(C)C)C1N(O)C(C(C)(C)N=1)(C)C)C,1.001801579
CC1(C)C(C)([N+](=C(C2N(C(C(N=2)(C)C)(C)C)O)C=[N+]1[O-])[O-])C,1.001801579
CC1(C)[N+]([O-])=CC(=[N+]([O-])C1(C)C)C1=NC(C)(C(C)(C)N1O)C,1.001801579
CC1(C)N=C(C2=[N+]([O-])C(C)(C)C(C)(C)[N+]([O-])=C2)N(C1(C)C)O,1.001801579
CC1(N=C(C2C=[N+](C(C)(C(C)([N+]=2[O-])C)C)[O-])N(C1(C)C)O)C,1.001801579
C1(C)(C(C)(C)N(C(C2C=[N+](C(C(C)([N+]=2[O-])C)(C)C)[O-])=N1)O)C,1.001801579
CC1([N+]([O-])=C(C2N(C(C)(C)C(C)(C)N=2)O)C=[N+](C1(C)C)[O-])C,1.001801579
